caller,callee,required_status,evidence
0x00432E20,0x00404F30,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x00408A40,library,exact VC8 std::string append probe and target direct call
0x00432E20,0x00408B40,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x0040EB20,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x0040EE50,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x0040EF50,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x0040F050,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x0040F780,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x00416A50,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x00431430,library,exact VC8 spell-map iterator decrement probe and target direct call
0x00432E20,0x00431950,matching,exact SpellRecordView copy-constructor probe and target direct call
0x00432E20,0x00432310,library,exact VC8 spell-map unique insert probe and target direct call
0x00433490,0x00432500,matching,Exact spell owner cleanup before parser dispatch
0x00433490,0x00432E20,decompiled,docs/BATTLE.md resource parser forwarding
0x00433490,0x0043ABE0,identified,docs/BATTLE.md character path component resolution
0x00433BE0,0x00406530,implemented,target direct call and exact shared oriented-component setter comparison
0x00433BE0,0x004065A0,implemented,target direct call and exact shared oriented-component setter comparison
0x0045A4A0,0x00406650,matching,docs/BATTLE.md oriented descriptor sine dependency
0x0045A4A0,0x00406680,matching,docs/BATTLE.md oriented descriptor cosine dependency
0x0045AEC0,0x0045A190,decompiled,docs/BATTLE.md group geometry transform path
0x0045AEC0,0x0045A2E0,decompiled,docs/BATTLE.md mirrored group geometry transform path
0x0045AEC0,0x0045A4A0,decompiled,docs/BATTLE.md oriented descriptor construction path
0x0045BBB0,0x0045B9E0,implemented,IDA Pro sole checked sequence-slot accessor dependency
0x0045BC30,0x0042C100,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0045BC30,0x004317A0,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0045BC30,0x00431860,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0045BC30,0x00439B40,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0045BC30,0x0045B9E0,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0045BC30,0x0045BA40,implemented,Complete authored spell-sequence front advance dependency
0x0045C690,0x00406C30,identified,docs/BATTLE.md optional resource preparation
0x0045C690,0x00430D90,identified,docs/BATTLE.md record selection
0x0045C690,0x004317A0,implemented,docs/BATTLE.md selected record lookup
0x0045C5A0,0x00453B70,decompiled,IDA Pro 0x94-byte embedded sprite copy at slot +0x04
0x0045C5A0,0x0045C440,library,exact VC8 deque<FighterSequenceSlot>::_Growmap before enqueue
0x0045C690,0x0045C5A0,matching,strict exact complete 0x98-byte sequence-slot transfer
0x0045E3A0,0x00421310,decompiled,IDA Pro sole constructor dependency at AttackObject this+4
0x0045F140,0x00409AA0,matching,target initialization call order and exact CInputManager reset comparison
0x0045F140,0x00430FA0,identified,target initialization call order
0x0045F140,0x004317A0,implemented,target checked sequence initialization path
0x0045F140,0x00433B90,matching,target initialization call order
0x0045F140,0x0045B9E0,identified,target checked sequence initialization path
0x0045F140,0x0045C690,implemented,target initial sequence population loop
0x0045F140,0x0045E5F0,identified,target initialization call order
0x0045F140,0x00462380,identified,target initialization call order
0x0045F140,0x004631E0,identified,target initialization call order
0x00462050,0x00404EC0,identified,docs/BATTLE.md face and back image load path
0x00462050,0x00416A50,identified,docs/BATTLE.md back-resource registration
0x00462050,0x00430DE0,matching,docs/BATTLE.md spell data load call
0x00462050,0x0043ABE0,identified,docs/BATTLE.md character path component resolution
0x00462050,0x0045E080,identified,docs/BATTLE.md indexed resource initialization phase
0x00462050,0x00460B50,identified,docs/BATTLE.md pre-resource initialization phase
0x00462050,0x00464320,identified,docs/BATTLE.md final character resource callback
0x004631E0,0x00463120,identified,IDA Pro sole packed-input subobject call and EAX pass-through
0x00463610,0x00459E50,matching,IDA Pro exact five-pass callback phase reaches common fighter update
0x00463760,0x00459860,matching,IDA Pro exact commit phase position integration
0x00463760,0x0045CDD0,implemented,IDA Pro exact commit phase transient-status pass
0x00463760,0x0045CF00,decompiled,IDA Pro exact commit phase timer-cleanup pass
0x0046A5D0,0x00425CD0,decompiled,IDA Pro post-update first global-view pass
0x0046A5D0,0x00425F10,identified,docs/BATTLE.md post-update second global-state pass
0x0046AB80,0x0046A9A0,matching,exact descriptor extent comparison
0x0046ABD0,0x0046A9A0,matching,exact descriptor pair extent comparison
0x0046AC40,0x0046ACB0,matching,exact hit effect and extent reset path
0x0046AD30,0x0046AA30,identified,docs/BATTLE.md float overlap accumulation path
0x0046ADA0,0x0046AB80,matching,docs/BATTLE.md one-descriptor accumulation path
0x0046ADA0,0x0046AEA0,matching,docs/BATTLE.md point-test dependency
0x0046AF30,0x0046ADA0,implemented,docs/BATTLE.md group A primary geometry path
0x0046B000,0x0046ABD0,matching,docs/BATTLE.md two-descriptor accumulation path
0x0046B000,0x0046AEA0,matching,docs/BATTLE.md ordered point-test cascade
0x0046B100,0x0046ADA0,implemented,docs/BATTLE.md one-descriptor branch
0x0046B100,0x0046B000,implemented,docs/BATTLE.md two-descriptor branch
0x0046B290,0x0046ADA0,implemented,docs/BATTLE.md one-descriptor branch
0x0046B290,0x0046B000,implemented,docs/BATTLE.md two-descriptor branch
0x0046B420,0x00404980,decompiled,IDA Pro shared sixteen-step service mode transition
0x0046B420,0x00404A10,decompiled,IDA Pro shared sixteen-step state-pair service commands
0x0046B420,0x00463820,decompiled,IDA Pro shared sixteen-step fighter side-selection pass
0x0046B420,0x00463970,decompiled,IDA Pro shared sixteen-step owned-manager and fighter passes
0x0046B420,0x00463A00,decompiled,IDA Pro shared sixteen-step signed phase-argument pass
0x0046B420,0x00463A60,decompiled,IDA Pro shared sixteen-step direct fighter helper pass
0x0046B420,0x00463AB0,decompiled,IDA Pro shared sixteen-step embedded-state pass
0x0046B420,0x00465B00,decompiled,IDA Pro shared sixteen-step first object-manager list pass
0x0046B420,0x00465B70,decompiled,IDA Pro shared sixteen-step second object-manager list pass
0x0046B4F0,0x004010C0,decompiled,IDA Pro battle-phase plus info callback render-service preparation
0x0046B570,0x00433B90,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x00434860,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x00439860,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x00439DC0,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0045AAE0,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0045B870,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0045CA70,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0045CAE0,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0046A940,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0046AC40,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046B570,0x0046ACB0,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046BBA0,0x00459ED0,implemented,docs/BATTLE.md dynamic forwarded scalar path
0x0046BBA0,0x0045B870,implemented,docs/BATTLE.md capped counter update
0x0046BBA0,0x0045CAE0,matching,docs/BATTLE.md state gate
0x0046BBA0,0x0046A940,matching,docs/BATTLE.md scratch reset path
0x0046BCD0,0x00439DC0,matching,docs/BATTLE.md terminal indexed event
0x0046BCD0,0x0045CA70,matching,docs/BATTLE.md terminal facing update
0x0046BCD0,0x0046A940,matching,docs/BATTLE.md terminal scratch reset
0x0046BCD0,0x0046AC40,matching,docs/BATTLE.md terminal collision effect
0x0046BCD0,0x0046ACB0,matching,docs/BATTLE.md terminal extent reset
0x0046BF20,0x0046B100,implemented,docs/BATTLE.md group A versus group B geometry
0x0046BFD0,0x0046B290,implemented,docs/BATTLE.md group B pair geometry
0x0046C070,0x0046B290,implemented,docs/BATTLE.md group B clash geometry
0x0046C290,0x00434390,matching,Ghidra MCP direct callee and body-collision boundary classification
0x0046C290,0x004343D0,matching,Ghidra MCP direct callee and proposed-X stage-height gate
0x0046C290,0x0046ACB0,matching,Ghidra MCP direct callee and collision extent reset
0x0046C290,0x0046ACD0,matching,Ghidra MCP direct callee and body AABB world transform
0x0046C290,0x0046AD30,matching,Ghidra MCP direct callee and body AABB overlap gate
0x0046C9E0,0x00439DC0,matching,docs/BATTLE.md outcome event dispatch
0x0046C9E0,0x0045AB10,matching,docs/BATTLE.md alternate descriptor quantity
0x0046C9E0,0x0045B870,implemented,docs/BATTLE.md owner counter adjustment
0x0046C9E0,0x0045CA70,matching,docs/BATTLE.md facing update
0x0046C9E0,0x0045CAE0,matching,docs/BATTLE.md state gate
0x0046C9E0,0x0045CB20,implemented,docs/BATTLE.md outcome selector dependency
0x0046C9E0,0x0046A940,matching,docs/BATTLE.md scratch reset
0x0046C9E0,0x0046AC40,matching,docs/BATTLE.md collision effect
0x0046C9E0,0x0046ACB0,matching,docs/BATTLE.md extent reset
0x0046CC00,0x00439DC0,matching,docs/BATTLE.md outcome event dispatch
0x0046CC00,0x0045AB10,matching,docs/BATTLE.md alternate descriptor quantity
0x0046CC00,0x0045B870,implemented,docs/BATTLE.md owner counter adjustment
0x0046CC00,0x0045CA70,matching,docs/BATTLE.md facing update
0x0046CC00,0x0045CAE0,matching,docs/BATTLE.md state gate
0x0046CC00,0x0046A940,matching,docs/BATTLE.md scratch reset
0x0046CC00,0x0046AC40,matching,docs/BATTLE.md collision effect
0x0046CC00,0x0046ACB0,matching,docs/BATTLE.md extent reset
0x0046CC00,0x0046BCD0,matching,docs/BATTLE.md terminal outcome handoff
0x0046CE20,0x00433B90,matching,docs/BATTLE.md action scratch reset after outcome
0x0046CE20,0x00434860,matching,docs/BATTLE.md selector-six stage gate
0x0046CE20,0x0045CB20,implemented,docs/BATTLE.md outcome selector
0x0046CE20,0x0046C9E0,implemented,docs/BATTLE.md outcome path A dispatch
0x0046CE20,0x0046CC00,implemented,docs/BATTLE.md outcome path B dispatch
0x0046D040,0x0045CD90,matching,docs/BATTLE.md positive-y state gate
0x0046D040,0x0046AF30,implemented,docs/BATTLE.md primary geometry branch
0x0046D040,0x0046B100,implemented,docs/BATTLE.md group geometry branch
0x0046D040,0x0046B570,implemented,docs/BATTLE.md ordinary hit fallback
0x0046D040,0x0046BDE0,matching,docs/BATTLE.md candidate flag outcome
0x0046D040,0x0046BE90,matching,docs/BATTLE.md frame flag pair outcome
0x0046D040,0x0046CE20,implemented,docs/BATTLE.md outcome dispatch
0x0046D160,0x0046BF20,implemented,docs/BATTLE.md fallback family interaction
0x0046D160,0x0046BFD0,matching,docs/BATTLE.md first family pair response
0x0046D370,0x0046C070,implemented,docs/BATTLE.md object clash resolver
0x0046D620,0x00454890,library,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0045AEC0,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0045BF10,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0046D000,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0046D040,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0046D160,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046D620,0x0046D370,implemented,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x0046FE80,0x00439860,matching,IDA Pro battle setup mode gate
0x0046FE80,0x00439C90,matching,IDA Pro battle setup option gate
0x0046FE80,0x00439CA0,matching,exact battle setup session-option setter
0x0046FE80,0x00439C80,matching,exact battle setup player-two input accessor
0x0046FE80,0x0042AAB0,implemented,Complete authored setup-slot save dependency
0x0046FE80,0x0042ABF0,implemented,Complete authored setup-slot load dependency
0x0046FE80,0x0042B5D0,decompiled,Exact battle setup reaches complete session input-slot vector initialization
0x0046FE80,0x00433860,identified,exact battle setup stage-music selection
0x0046FE80,0x00439C30,matching,exact battle setup selected-input accessor
0x0046FE80,0x0043AD10,identified,exact fallback character-to-stage selection
0x0046FE80,0x0043AD60,identified,exact fallback character-to-BGM selection
0x0046FE80,0x0043B6D0,identified,exact fallback BGM playback boundary
0x0046FE80,0x00458D10,decompiled,IDA Pro direct scenario-page dependency
0x0046FE80,0x00458F10,decompiled,IDA Pro direct character-story initialization dependency
0x0046FE80,0x004591D0,implemented,Complete authored scenario event-row parser dependency
0x0046FE80,0x00464270,identified,exact MatchSetup-side fighter slot initialization
0x0046FE80,0x00465F70,decompiled,IDA Pro direct render-state reset dependency
0x0046FE80,0x0046A490,decompiled,IDA Pro direct fighter-pair initialization dependency
0x0046FE80,0x00425F10,identified,exact final global battle-state update
0x00470060,0x00439870,matching,exact roster preparation MatchSetup accessor
0x00470060,0x00439C80,matching,exact roster preparation player-two input accessor
0x00470060,0x00439C90,matching,exact roster preparation session option gate
0x00470060,0x0042AAB0,implemented,Complete authored setup-slot save dependency
0x00470060,0x0042ABF0,implemented,Complete authored setup-slot load dependency
0x00470060,0x00425CB0,identified,exact roster metadata copy
0x00470060,0x0045E040,identified,exact paired fighter roster reset
0x00470060,0x00458D10,decompiled,IDA Pro direct scenario-page dependency
0x00470060,0x00463270,matching,exact fighter slot character accessor
0x00470060,0x00463280,matching,exact fighter slot active gate
0x00470060,0x00463290,identified,exact fighter slot configuration
0x00470060,0x004641F0,identified,exact fighter slot setup begin
0x00470060,0x00464240,identified,exact inactive fighter slot setup finish
0x00470060,0x00471470,identified,exact roster state refresh
0x004701C0,0x00427190,decompiled,IDA Pro direct local/practice control dependency
0x004701C0,0x00427AC0,decompiled,IDA Pro direct synchronized-control publication dependency
0x004701C0,0x0042A560,matching,IDA Pro direct packed-control collection dependency and exact canonical match unit
0x004701C0,0x0043F030,decompiled,IDA Pro direct CMenuBattle construction dependency
0x004701C0,0x00462E20,decompiled,IDA Pro direct fighter scripted-input dependency
0x004701C0,0x00439DC0,matching,IDA Pro round initialization indexed event
0x004701C0,0x0046A610,matching,IDA Pro round initialization narrow fighter reset
0x004701C0,0x0046A6A0,matching,IDA Pro round initialization broad fighter reset
0x00470300,0x0046AC40,matching,IDA Pro terminal fighter effect publication
0x00470360,0x004531A0,identified,exact round outcome tally publication
0x00470360,0x0045BB10,identified,exact fighter sequence-entry finalization
0x00470360,0x0045BC30,implemented,IDA Pro round resolution spell-sequence consumption
0x00470360,0x004712B0,identified,exact post-sequence update
0x004704D0,0x0046B4F0,implemented,IDA Pro active simulation frame wrapper
0x004704D0,0x00458CD0,identified,strict exact active simulation wrapper phase-dependent tail
0x00470500,0x00458E80,matching,Strict exact member owned scenario-string dispatch dependency
0x00470500,0x0045E010,identified,exact per-fighter transition counter reset
0x00470500,0x0046E040,identified,exact phase-selected transition effect publication
0x00470500,0x0046E130,identified,exact 480.0 transition position publication
0x00470500,0x00458D90,identified,exact signed scenario transition selector
0x00470500,0x0043A4B0,identified,exact asynchronous engine scene-load branch
0x00470500,0x00443230,identified,exact ContinueMenu allocation and constructor branch
0x00470500,0x004434B0,identified,exact EndMenu allocation and constructor branch
0x00470780,0x00458E80,matching,Strict exact member owned scenario-string dispatch dependency
0x00470780,0x00425F10,identified,IDA Pro round reset second global-state pass
0x00470780,0x00426410,identified,exact round reset global-state synchronization
0x00470780,0x00459170,identified,VC8 checked source-to-destination list assignment
0x00470780,0x00456870,identified,exact BattlePhaseBlock+0x68 reset
0x00470780,0x00458CC0,identified,exact post-Continue scenario run loop
0x00470780,0x0046ACB0,matching,IDA Pro round reset collision-extent reset
0x0046A490,0x00463270,matching,exact fighter-slot loads for both sides
0x0046A490,0x0045E040,identified,exact paired roster reset calls
0x0046A490,0x00464240,identified,exact fighter-slot finish calls
0x0046A490,0x00426440,identified,exact four-position pair metadata publication
0x0046A490,0x0046ACB0,matching,exact collision extent reset
0x0046A490,0x004694E0,identified,exact post-renderer pair reset
0x0046A490,0x00434780,identified,exact embedded mode selection
0x0046A490,0x00427150,identified,exact paired input reset
0x004708B0,0x0040A710,matching,IDA Pro synchronized input critical-section entry
0x004708B0,0x0040A720,matching,IDA Pro synchronized input critical-section exit
0x004708B0,0x00427680,matching,exact synchronized input-state availability call
0x0042A560,0x0042A370,identified,exact packed-control collection queue publication call
0x0042A560,0x004397F0,identified,exact packed-control collection menu initial-press gates
0x0042A560,0x00439CB0,matching,exact packed-control collection network session gate
0x00427AC0,0x00427A50,identified,faithful synchronized-control publication queue consume call
0x00427AC0,0x00439810,identified,faithful synchronized-control publication menu-state calls
0x00470940,0x00439C90,matching,IDA Pro frame dispatcher session-option gate
0x00470940,0x00439DC0,matching,IDA Pro frame dispatcher scene-exit event
0x00470940,0x004397F0,identified,exact frame dispatcher menu initial-press gate
0x00470940,0x00439C80,matching,exact frame dispatcher player-two input accessor
0x00470940,0x00439D10,identified,exact frame dispatcher scene-exit menu installation thunk
0x00470940,0x0043A290,identified,exact frame dispatcher UI state-change early gate
0x00470940,0x0043F030,decompiled,exact frame dispatcher SceneExitTransition constructor target
0x00470940,0x004708B0,implemented,exact frame dispatcher synchronized input gate edge
0x004927D0,0x0045E3A0,decompiled,IDA Pro sole shared base-constructor call
0x00492BA0,0x00402A50,library,IDA Pro direct call from Reimu object-pool reuse path
0x00492BA0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x00492DB0,0x00492B10,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x00492E20,0x00454890,library,IDA Pro exact normalized list-size update call
0x00492E20,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x00492E20,0x00492BA0,identified,IDA Pro character-specific pool-acquire call
0x00492F10,0x00492BA0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x00492F10,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x00492F90,0x00492DB0,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x00492F90,0x00492F10,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x00493110,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x00493110,0x00492E20,identified,IDA Pro direct acquire-and-link call
0x00494050,0x0045BBB0,matching,IDA Pro Reimu spell sequence availability gates
0x00494050,0x004631E0,implemented,IDA Pro Reimu action-transition call cluster
0x00494050,0x00493C90,implemented,IDA Pro Reimu front-record selector call
0x004B9240,0x00402A50,library,IDA Pro direct call from Marisa object-pool reuse path
0x004B9240,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x004B9470,0x004B91B0,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x004B94E0,0x00454890,library,IDA Pro exact normalized list-size update call
0x004B94E0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x004B94E0,0x004B9240,identified,IDA Pro character-specific pool-acquire call
0x004B9650,0x004B9240,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x004B9650,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x004B96D0,0x004B9470,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x004B96D0,0x004B9650,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x004B9860,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x004B9860,0x004B94E0,identified,IDA Pro direct acquire-and-link call
0x004B9A60,0x0045BBB0,matching,IDA Pro Marisa spell sequence availability gates
0x004B9A60,0x004631E0,implemented,IDA Pro Marisa action-transition call cluster
0x004B9A60,0x00493C90,implemented,IDA Pro Marisa front-record selector call
0x004DE8E0,0x00402A50,library,IDA Pro direct call from Sakuya object-pool reuse path
0x004DE8E0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x004DEB10,0x004DE850,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x004DEB80,0x00454890,library,IDA Pro target list insertion call
0x004DEB80,0x0046D000,matching,IDA Pro target list-node allocation call
0x004DEB80,0x004DE8E0,identified,IDA Pro target pool acquire call and handle output
0x004DEC70,0x00454890,library,IDA Pro repeated target list insertion call
0x004DEC70,0x0046D000,matching,IDA Pro repeated target list-node allocation call
0x004DEC70,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x004DEC70,0x004DE8E0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
